"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 06 16:15:35 CST 2022","Thu Oct 06 16:15:36 CST 2022","1124","testcases","test_demo","TestBaidu","","","test1",""
"failed","Thu Oct 06 16:15:36 CST 2022","Thu Oct 06 16:15:37 CST 2022","357","testcases","test_demo","TestBaidu","","","test2",""
